ŝlosado	ŝlos'ad'o
ŝlosante	ŝlos'ant'e
ŝlosila	ŝlos'il'a
ŝlosilaj	ŝlos'il'a'j
ŝlosilajn	ŝlos'il'a'j'n
ŝlosilan	ŝlos'il'a'n
ŝlosile	ŝlos'il'e
ŝlosilo	ŝlos'il'o
ŝlosiloj	ŝlos'il'o'j
ŝlosilojn	ŝlos'il'o'j'n
ŝlosilon	ŝlos'il'o'n
ŝlosilvorto	ŝlos'il'vort'o
ŝlosilvortoj	ŝlos'il'vort'o'j
ŝlosilvortojn	ŝlos'il'vort'o'j'n
ŝlosinte	ŝlos'int'e
ŝlosita	ŝlos'it'a
ŝlositaj	ŝlos'it'a'j
ŝlositan	ŝlos'it'a'n
ŝlosoŝtono	ŝlos'o'ŝton'o
ŝminkas	ŝmink'as
ŝminkis	ŝmink'is
ŝminko	ŝmink'o
ŝminkon	ŝmink'o'n
ŝminkado	ŝmink'ad'o
ŝminkita	ŝmink'it'a
ŝmiras	ŝmir'as
ŝmiri	ŝmir'i
ŝmiris	ŝmir'is
ŝmiru	ŝmir'u
ŝmirado	ŝmir'ad'o
ŝmiraĵo	ŝmir'aĵ'o
ŝmiraĵon	ŝmir'aĵ'o'n
ŝmirita	ŝmir'it'a
ŝmiritaj	ŝmir'it'a'j
ŝnuro	ŝnur'o
ŝnuroj	ŝnur'o'j
ŝnurojn	ŝnur'o'j'n
ŝnuron	ŝnur'o'n
ŝnurego	ŝnur'eg'o
ŝnuregoj	ŝnur'eg'o'j
ŝnuregojn	ŝnur'eg'o'j'n
ŝnuregon	ŝnur'eg'o'n
ŝnureto	ŝnur'et'o
ŝnuretoj	ŝnur'et'o'j
ŝnuretojn	ŝnur'et'o'j'n
ŝnureton	ŝnur'et'o'n
ŝofora	ŝofor'a
ŝoforas	ŝofor'as
ŝofori	ŝofor'i
ŝoforis	ŝofor'is
ŝoforo	ŝofor'o
ŝoforoj	ŝofor'o'j
ŝoforojn	ŝofor'o'j'n
ŝoforon	ŝofor'o'n
ŝoforos	ŝofor'os
ŝoforu	ŝofor'u
ŝoforado	ŝofor'ad'o
ŝoforpermesilon	ŝofor'permes'il'o'n
ŝoguno	ŝogun'o
ŝoka	ŝok'a
ŝokaj	ŝok'a'j
ŝokan	ŝok'a'n
ŝokas	ŝok'as
ŝoke	ŝok'e
ŝoki	ŝok'i
ŝokis	ŝok'is
ŝoko	ŝok'o
ŝokoj	ŝok'o'j
ŝokojn	ŝok'o'j'n
ŝokon	ŝok'o'n
ŝokiĝas	ŝok'iĝ'as
ŝokiĝis	ŝok'iĝ'is
ŝokita	ŝok'it'a
ŝokitaj	ŝok'it'a'j
ŝokite	ŝok'it'e
ŝokondo	ŝok'ond'o
ŝokondoj	ŝok'ond'o'j
ŝosas	ŝos'as
ŝoso	ŝos'o
ŝosoj	ŝos'o'j
ŝosojn	ŝos'o'j'n
ŝosea	ŝose'a
ŝoseo	ŝose'o
ŝoseoj	ŝose'o'j
ŝoseojn	ŝose'o'j'n
ŝoseon	ŝose'o'n
ŝoto	ŝot'o
ŝovas	ŝov'as
